time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),drag_coefficient (unitless),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),lift (lbf),lift_coefficient (unitless),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
834.5045216452135,31305.821130147888,15.076922679302399,157087.33281070067,5829.582894174976,0.0244875031522347,0.0,-4191.973312689149,124605.4387065293,0.5234124170634256,0.6854911863445995,0.00018469063798147716,56520.076318005486,5.769784642207116,0.999934301829058,9307.818702807132,206.666643826668
899.9250077494985,32224.165340627682,12.99820378844917,170690.1691996048,5836.652763505333,0.024738011577547233,0.0,-4007.345459874253,124530.97598493147,0.5278108618934423,0.6970165641338657,0.00016765702788250648,56486.30059560329,5.200975417230797,0.9875343506864446,8833.229967458128,209.29721304955254
899.9250077494985,32224.165340633434,12.998203788449324,170690.1691996048,5836.652763505311,0.02473801157754999,0.0,-4007.345459874264,124530.97598493147,0.527810861893503,0.6970165641339183,0.00016765702788253123,56486.30059560329,5.200975417227125,0.9875343506867372,8833.229967458094,209.297213049563
1049.7312446732785,33827.494418643895,8.407167722567559,202403.29946563934,5846.4645969640205,0.025247759849200246,0.0,-3547.353568745554,124373.80934936574,0.5371040939191933,0.7167997145404663,9.645948439076616e-05,56415.011008816145,4.208550874172993,0.9187473483684793,7702.495480688024,213.71366505100295
1256.433275742689,34910.57613598308,2.072474995364811,246854.45264668498,5846.118376993555,0.02585790317131203,0.0,-2918.5520792388033,124188.23604476867,0.5492956480831812,0.7265850807136981,-1.7785940037158165e-06,56330.83637368554,3.5009850785353,0.7601399687211077,6203.328086198746,215.5815280650728
1321.853761846974,34980.57741036264,0.06756640597748372,260946.4939939492,5838.524100234877,0.025991130147353277,0.0,-2718.9086252567477,124137.00166073111,0.5526158513478562,0.7254516968313821,-3.2870609932476936e-05,56307.596847979694,3.456895653076087,0.6944716093302201,5726.987637030176,215.17734121853866
1321.853761846974,34980.57741036626,0.06756640597752457,260946.4939939492,5838.524100234791,0.02599113014735758,0.0,-2718.9086252565985,124137.00166073111,0.5526158513479557,0.725451696831379,-3.287060993248172e-05,56307.596847979694,3.456895653073579,0.6944716093303647,5726.987637030082,215.17734121853417
1437.3200806762025,34987.59411892894,0.053970482594404255,285773.3755267509,5835.776068234518,0.02596736431511179,0.0,-2825.671488623401,124048.18325728834,0.5519753207809873,0.7257334381508627,3.775067058290235e-05,56267.30949781955,3.4609421935014217,0.7324632434910313,5986.890494081531,215.25409845601794
1596.6400336515449,34994.69830443866,0.03521088329293392,320331.42512862355,5889.801306805438,0.025248878608069614,0.0,-3029.4912296026937,123918.87051260135,0.5312254787282122,0.7395101765660731,0.00013519362368691524,56208.65422342328,3.4578121904658694,0.7912347590506957,6402.544360457393,219.3332821877981
1647.0642540418069,34996.324092679744,0.029273534254599897,331445.9473419975,5931.482487435589,0.024915148121921818,0.0,-3113.2376944669554,123875.89965917298,0.5203397962115512,0.7471047602346375,0.00016603398517983683,56189.16297215501,3.4345702622479486,0.8128463326563443,6558.51352212728,221.584155318417
